#: table_doi: 10.17182/hepdata.58497.v1/t1
#: name: Table 1
#: description: The inelastic cross section differential in the forward rapidity gap size, DELTA(C=RAPGAP) for a maximum  observed particle transverse momentum of 200 MeV in the gap.

#: data_file: Table1.yaml
#: keyword reactions: P P --> X Y | P P --> P X | P P --> X | P P --> DD DD | P P --> p DD
#: keyword observables: DN/DETARAP
#: keyword phrases: Exclusive | Inclusive | Exclusive | Single Differential Distribution | Proton-Proton Scattering | Diffractive
#: keyword cmenergies: 7000.0
#: RE,,,P P --> X Y,,,,,,,
#: PT(C=CUT) [MeV],,,200.0
#: SQRT(S) [GeV],,,7000.0
'DELTA(C=RAPGAP)','DELTA(C=RAPGAP) LOW','DELTA(C=RAPGAP) HIGH','D(SIG)/DDELTA(C=RAPGAP) [MB]','stat +','stat -','sys +','sys -','sys,luminosity uncertainty +','sys,luminosity uncertainty -'
0.2,0.0,0.4,85.39,'0.16%','-0.16%','9.37%','-9.4%','3.4%','-3.4%'
0.6000000000000001,0.4,0.8,25.96,'0.19%','-0.19%','15.34%','-15.2%','3.4%','-3.4%'
1.0,0.8,1.2,9.91,'0.29%','-0.29%','19.52%','-19.8%','3.4%','-3.4%'
1.4,1.2,1.6,4.79,'0.34%','-0.34%','21.05%','-20.7%','3.4%','-3.4%'
1.8,1.6,2.0,2.77,'0.47%','-0.47%','22.12%','-21.5%','3.4%','-3.4%'
2.1,2.0,2.2,2.11,'0.59%','-0.59%','17.86%','-18.1%','3.4%','-3.4%'
2.3,2.2,2.4,1.83,'0.57%','-0.57%','17.7%','-17.9%','3.4%','-3.4%'
2.5,2.4,2.6,1.73,'0.86%','-0.86%','14.9%','-13.9%','3.4%','-3.4%'
2.7,2.6,2.8,1.58,'1.05%','-1.05%','14.37%','-12.8%','3.4%','-3.4%'
2.9,2.8,3.0,1.45,'0.94%','-0.94%','13.86%','-10.1%','3.4%','-3.4%'
3.1,3.0,3.2,1.31,'1.12%','-1.12%','11.42%','-9.1%','3.4%','-3.4%'
3.3,3.2,3.4,1.23,'1.26%','-1.26%','8.32%','-9.8%','3.4%','-3.4%'
3.5,3.4,3.6,1.2,'1.28%','-1.28%','7.21%','-8.1%','3.4%','-3.4%'
3.7,3.6,3.8,1.11,'1.33%','-1.33%','10.52%','-9.1%','3.4%','-3.4%'
3.9,3.8,4.0,1.04,'1.55%','-1.55%','9.97%','-10.1%','3.4%','-3.4%'
4.1,4.0,4.2,1.01,'1.6%','-1.6%','5.5%','-8.3%','3.4%','-3.4%'
4.300000000000001,4.2,4.4,0.94,'1.32%','-1.32%','10.81%','-10.5%','3.4%','-3.4%'
4.5,4.4,4.6,0.92,'1.77%','-1.77%','7.63%','-7.6%','3.4%','-3.4%'
4.699999999999999,4.6,4.8,0.91,'1.7%','-1.7%','7.58%','-8.3%','3.4%','-3.4%'
4.9,4.8,5.0,0.88,'1.9%','-1.9%','10.15%','-9.8%','3.4%','-3.4%'
5.1,5.0,5.2,0.87,'1.64%','-1.64%','8.0%','-7.6%','3.4%','-3.4%'
5.300000000000001,5.2,5.4,0.89,'1.76%','-1.76%','7.08%','-7.3%','3.4%','-3.4%'
5.5,5.4,5.6,0.87,'1.31%','-1.31%','11.56%','-11.5%','3.4%','-3.4%'
5.699999999999999,5.6,5.8,0.95,'1.22%','-1.22%','7.43%','-8.3%','3.4%','-3.4%'
5.9,5.8,6.0,0.94,'1.41%','-1.41%','10.68%','-10.3%','3.4%','-3.4%'
6.1,6.0,6.2,0.95,'1.37%','-1.37%','8.54%','-9.2%','3.4%','-3.4%'
6.300000000000001,6.2,6.4,0.97,'1.15%','-1.15%','12.43%','-13.4%','3.4%','-3.4%'
6.5,6.4,6.6,0.99,'1.3%','-1.3%','7.74%','-7.8%','3.4%','-3.4%'
6.699999999999999,6.6,6.8,1.06,'1.3%','-1.3%','5.23%','-5.2%','3.4%','-3.4%'
6.9,6.8,7.0,1.08,'1.33%','-1.33%','5.27%','-5.1%','3.4%','-3.4%'
7.1,7.0,7.2,1.11,'1.2%','-1.2%','4.24%','-4.3%','3.4%','-3.4%'
7.300000000000001,7.2,7.4,1.11,'0.94%','-0.94%','5.19%','-5.7%','3.4%','-3.4%'
7.5,7.4,7.6,1.13,'0.98%','-0.98%','5.03%','-6.0%','3.4%','-3.4%'
7.699999999999999,7.6,7.8,1.17,'0.96%','-0.96%','5.79%','-6.6%','3.4%','-3.4%'
7.9,7.8,8.0,1.2,'0.95%','-0.95%','5.63%','-5.3%','3.4%','-3.4%'

#: RE,,,P P --> X Y,,,
#: PT(C=CUT) [MeV],,,200.0
#: SQRT(S) [GeV],,,7000.0
'DELTA(C=RAPGAP)','DELTA(C=RAPGAP) LOW','DELTA(C=RAPGAP) HIGH','dpy6','sys,luminosity uncertainty +','sys,luminosity uncertainty -'
0.2,0.0,0.4,-2.86,'3.4%','-3.4%'
0.6000000000000001,0.4,0.8,4.28,'3.4%','-3.4%'
1.0,0.8,1.2,5.28,'3.4%','-3.4%'
1.4,1.2,1.6,9.66,'3.4%','-3.4%'
1.8,1.6,2.0,15.26,'3.4%','-3.4%'
2.1,2.0,2.2,14.52,'3.4%','-3.4%'
2.3,2.2,2.4,13.82,'3.4%','-3.4%'
2.5,2.4,2.6,9.48,'3.4%','-3.4%'
2.7,2.6,2.8,5.41,'3.4%','-3.4%'
2.9,2.8,3.0,4.6,'3.4%','-3.4%'
3.1,3.0,3.2,4.09,'3.4%','-3.4%'
3.3,3.2,3.4,3.54,'3.4%','-3.4%'
3.5,3.4,3.6,4.43,'3.4%','-3.4%'
3.7,3.6,3.8,5.63,'3.4%','-3.4%'
3.9,3.8,4.0,7.15,'3.4%','-3.4%'
4.1,4.0,4.2,3.07,'3.4%','-3.4%'
4.300000000000001,4.2,4.4,4.86,'3.4%','-3.4%'
4.5,4.4,4.6,3.87,'3.4%','-3.4%'
4.699999999999999,4.6,4.8,4.48,'3.4%','-3.4%'
4.9,4.8,5.0,6.16,'3.4%','-3.4%'
5.1,5.0,5.2,5.29,'3.4%','-3.4%'
5.300000000000001,5.2,5.4,5.5,'3.4%','-3.4%'
5.5,5.4,5.6,8.0,'3.4%','-3.4%'
5.699999999999999,5.6,5.8,5.08,'3.4%','-3.4%'
5.9,5.8,6.0,7.45,'3.4%','-3.4%'
6.1,6.0,6.2,6.98,'3.4%','-3.4%'
6.300000000000001,6.2,6.4,5.64,'3.4%','-3.4%'
6.5,6.4,6.6,3.61,'3.4%','-3.4%'
6.699999999999999,6.6,6.8,2.03,'3.4%','-3.4%'
6.9,6.8,7.0,0.0,'3.4%','-3.4%'
7.1,7.0,7.2,-1.91,'3.4%','-3.4%'
7.300000000000001,7.2,7.4,-3.38,'3.4%','-3.4%'
7.5,7.4,7.6,-3.22,'3.4%','-3.4%'
7.699999999999999,7.6,7.8,-4.02,'3.4%','-3.4%'
7.9,7.8,8.0,-3.95,'3.4%','-3.4%'

#: RE,,,P P --> X Y,,,
#: PT(C=CUT) [MeV],,,200.0
#: SQRT(S) [GeV],,,7000.0
'DELTA(C=RAPGAP)','DELTA(C=RAPGAP) LOW','DELTA(C=RAPGAP) HIGH','dpho','sys,luminosity uncertainty +','sys,luminosity uncertainty -'
0.2,0.0,0.4,-7.61,'3.4%','-3.4%'
0.6000000000000001,0.4,0.8,13.8,'3.4%','-3.4%'
1.0,0.8,1.2,17.62,'3.4%','-3.4%'
1.4,1.2,1.6,16.86,'3.4%','-3.4%'
1.8,1.6,2.0,12.64,'3.4%','-3.4%'
2.1,2.0,2.2,5.48,'3.4%','-3.4%'
2.3,2.2,2.4,6.72,'3.4%','-3.4%'
2.5,2.4,2.6,1.67,'3.4%','-3.4%'
2.7,2.6,2.8,0.77,'3.4%','-3.4%'
2.9,2.8,3.0,2.08,'3.4%','-3.4%'
3.1,3.0,3.2,1.65,'3.4%','-3.4%'
3.3,3.2,3.4,3.73,'3.4%','-3.4%'
3.5,3.4,3.6,0.42,'3.4%','-3.4%'
3.7,3.6,3.8,4.73,'3.4%','-3.4%'
3.9,3.8,4.0,3.97,'3.4%','-3.4%'
4.1,4.0,4.2,2.59,'3.4%','-3.4%'
4.300000000000001,4.2,4.4,7.83,'3.4%','-3.4%'
4.5,4.4,4.6,5.04,'3.4%','-3.4%'
4.699999999999999,4.6,4.8,4.76,'3.4%','-3.4%'
4.9,4.8,5.0,6.61,'3.4%','-3.4%'
5.1,5.0,5.2,4.02,'3.4%','-3.4%'
5.300000000000001,5.2,5.4,2.51,'3.4%','-3.4%'
5.5,5.4,5.6,6.95,'3.4%','-3.4%'
5.699999999999999,5.6,5.8,3.77,'3.4%','-3.4%'
5.9,5.8,6.0,6.1,'3.4%','-3.4%'
6.1,6.0,6.2,2.74,'3.4%','-3.4%'
6.300000000000001,6.2,6.4,7.05,'3.4%','-3.4%'
6.5,6.4,6.6,5.69,'3.4%','-3.4%'
6.699999999999999,6.6,6.8,3.03,'3.4%','-3.4%'
6.9,6.8,7.0,3.33,'3.4%','-3.4%'
7.1,7.0,7.2,-0.18,'3.4%','-3.4%'
7.300000000000001,7.2,7.4,0.13,'3.4%','-3.4%'
7.5,7.4,7.6,-0.62,'3.4%','-3.4%'
7.699999999999999,7.6,7.8,-1.67,'3.4%','-3.4%'
7.9,7.8,8.0,-0.48,'3.4%','-3.4%'

#: RE,,,P P --> X Y,,,
#: PT(C=CUT) [MeV],,,200.0
#: SQRT(S) [GeV],,,7000.0
'DELTA(C=RAPGAP)','DELTA(C=RAPGAP) LOW','DELTA(C=RAPGAP) HIGH','de+','sys,luminosity uncertainty +','sys,luminosity uncertainty -'
